"gene","module","MM","GS","absMM","absGS"
"TUBAL3","blue",0.916430822047565,-0.761483640301332,0.916430822047565,0.761483640301332
"GUCA2A","blue",0.915964022565566,-0.772822539429666,0.915964022565566,0.772822539429666
"TMEM171","blue",0.915373981388803,-0.698380858865324,0.915373981388803,0.698380858865324
"ARL14","blue",0.914663412686862,-0.675014118635907,0.914663412686862,0.675014118635907
"CEACAM7","blue",0.914435823604103,-0.758051430243829,0.914435823604103,0.758051430243829
"GLTP","blue",0.91419807489728,-0.777358715639017,0.91419807489728,0.777358715639017
"B3GNT6","blue",0.914170465157118,-0.764395183987652,0.914170465157118,0.764395183987652
"GUCA2B","blue",0.91390441799,-0.804824112483393,0.91390441799,0.804824112483393
"CASP7","blue",0.913891416609778,-0.729569419707645,0.913891416609778,0.729569419707645
"ANO7","blue",0.913807996586516,-0.708898480562354,0.913807996586516,0.708898480562354
"SDCBP2","blue",0.913389375176768,-0.709793107752087,0.913389375176768,0.709793107752087
"CNNM2","blue",0.912636998963405,-0.777449104780847,0.912636998963405,0.777449104780847
"FER1L6","blue",0.912620192657741,-0.696043210179723,0.912620192657741,0.696043210179723
"LGALS4","blue",0.91243710611369,-0.612170935334254,0.91243710611369,0.612170935334254
"TLCD2","blue",0.911955646502368,-0.734949731386471,0.911955646502368,0.734949731386471
"LOC100129480","blue",0.911830984030703,-0.620769640261961,0.911830984030703,0.620769640261961
"SQRDL","blue",0.910833459739984,-0.690359233769122,0.910833459739984,0.690359233769122
"VSIG2","blue",0.910465169635586,-0.744710141584723,0.910465169635586,0.744710141584723
"CWH43","blue",0.91012054862666,-0.742714673675054,0.91012054862666,0.742714673675054
"CLCA4","blue",0.909939315309283,-0.813884014425961,0.909939315309283,0.813884014425961
"KLF4","blue",0.909834368505751,-0.715625580525093,0.909834368505751,0.715625580525093
"CDKN2B","blue",0.909503300840803,-0.771762484980246,0.909503300840803,0.771762484980246
"MARVELD3","blue",0.908958245625978,-0.635189483143322,0.908958245625978,0.635189483143322
"HSD11B2","blue",0.908940327230295,-0.674495703370303,0.908940327230295,0.674495703370303
"SLC26A2","blue",0.908899724602907,-0.738987332595906,0.908899724602907,0.738987332595906
"VIPR1","blue",0.908888076512302,-0.668404546201621,0.908888076512302,0.668404546201621
"C2orf88","blue",0.908565989405666,-0.79195371536743,0.908565989405666,0.79195371536743
"OSTBETA","blue",0.907473330796562,-0.761469885158274,0.907473330796562,0.761469885158274
"ZG16","blue",0.90689020260635,-0.760919858816093,0.90689020260635,0.760919858816093
"ALPI","blue",0.906844613649365,-0.816877275608392,0.906844613649365,0.816877275608392
"GNA11","blue",0.906728211175343,-0.790786811646649,0.906728211175343,0.790786811646649
"P2RX4","blue",0.906124323282132,-0.683051012935135,0.906124323282132,0.683051012935135
"NEURL","blue",0.905792566236151,-0.740417108525679,0.905792566236151,0.740417108525679
"LOC100289255","blue",0.905401584624273,-0.64986404247615,0.905401584624273,0.64986404247615
"SMPD3","blue",0.904879428832521,-0.698416076702306,0.904879428832521,0.698416076702306
"TRIM36","blue",0.904531260835821,-0.680046192661569,0.904531260835821,0.680046192661569
"ABHD3","blue",0.904176388430354,-0.731560822838398,0.904176388430354,0.731560822838398
"LGALS9C","blue",0.904155446951901,-0.749342180501559,0.904155446951901,0.749342180501559
"RIOK3","blue",0.903919053529081,-0.692676067842243,0.903919053529081,0.692676067842243
"CLCA1","blue",0.903866790136089,-0.734918384734211,0.903866790136089,0.734918384734211
"LOC646627","blue",0.903695479955845,-0.746981363801879,0.903695479955845,0.746981363801879
"TDP2","blue",0.903620363598463,-0.64085389520195,0.903620363598463,0.64085389520195
"EDN3","blue",0.903010351476271,-0.755963437324334,0.903010351476271,0.755963437324334
"SCGB2A1","blue",0.902284916475011,-0.686371368551249,0.902284916475011,0.686371368551249
"C11orf86","blue",0.901799398306246,-0.77327729561375,0.901799398306246,0.77327729561375
"VILL","blue",0.901745323760944,-0.654791284951566,0.901745323760944,0.654791284951566
"UGT1A10","blue",0.901655103308136,-0.721682130931337,0.901655103308136,0.721682130931337
"CDC42EP5","blue",0.900678005547813,-0.666827638264643,0.900678005547813,0.666827638264643
"PAFAH2","blue",0.900089633522329,-0.656870161741448,0.900089633522329,0.656870161741448
"ATP2A3","blue",0.900077915448973,-0.743477969047565,0.900077915448973,0.743477969047565
"B3GALT1","blue",0.899508291578186,-0.729024473264423,0.899508291578186,0.729024473264423
"TTC22","blue",0.899157861574201,-0.68082998552902,0.899157861574201,0.68082998552902
"PLCE1","blue",0.898436027177617,-0.738007768830158,0.898436027177617,0.738007768830158
"MALL","blue",0.898279080124997,-0.759444583218102,0.898279080124997,0.759444583218102
"TMEM54","blue",0.897843080235439,-0.684741521934634,0.897843080235439,0.684741521934634
"TRPM4","blue",0.89776806930644,-0.672688299498013,0.89776806930644,0.672688299498013
"ADAMDEC1","blue",0.897654073950654,-0.769601509234165,0.897654073950654,0.769601509234165
"TPSG1","blue",0.897421632153346,-0.719006422192602,0.897421632153346,0.719006422192602
"BARX2","blue",0.896929313507103,-0.735131967660923,0.896929313507103,0.735131967660923
"GPA33","blue",0.896378828725971,-0.620363903392882,0.896378828725971,0.620363903392882
"ITPKA","blue",0.89637430459149,-0.732344586254735,0.89637430459149,0.732344586254735
"TTLL6","blue",0.896354119545038,-0.730350298477321,0.896354119545038,0.730350298477321
