"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"CC","GO:0072686","mitotic spindle",151,0.464819786937654,1.96353901042281,3.50585144685478e-07,1.51692206505375e-05,1.18519381069218e-05,2319,"tags=40%, list=19%, signal=33%","10381/22974/81610/1894/983/990/221150/26586/4085/6790/5347/8480/3833/2669/29127/203068/150468/9787/9493/29899/9055/51203/146909/9212/22919/54801/5905/3832/79101/10615/11091/81930/2648/10460/7283/55559/9585/8502/55689/252839/259266/284403/8317/9700/55920/220134/8881/10726/1062/84617/2877/9657/822/55142/4134/3192/6188/8243/8379/197370/3297"
"BP","GO:0010273","detoxification of copper ion",13,-0.915050289771404,-2.21715611747955,3.73177882956362e-07,1.59522304666165e-05,1.24637153426199e-05,698,"tags=77%, list=6%, signal=72%","4504/326343/4583/4502/4501/4494/4493/4495/4496/4499"
"BP","GO:1990169","stress response to copper ion",13,-0.915050289771404,-2.21715611747955,3.73177882956362e-07,1.59522304666165e-05,1.24637153426199e-05,698,"tags=77%, list=6%, signal=72%","4504/326343/4583/4502/4501/4494/4493/4495/4496/4499"
"CC","GO:0000922","spindle pole",147,0.463660096639169,1.94118027326474,4.138730599715e-07,1.75858876260944e-05,1.37401160218714e-05,3081,"tags=45%, list=26%, signal=34%","22974/81610/994/990/26586/4085/6790/5347/891/8480/81624/4751/4869/150468/79980/1063/9787/991/29899/9055/9793/9212/22919/4957/3832/10615/10783/10460/84722/7283/9585/8502/259266/284403/1663/91272/56992/2010/282809/54820/10426/1499/25886/199953/9183/121441/9903/3192/8243/9735/8379/197370/3297/11073/56647/84902/23636/51143/11186/644943/11104/115106/83541/5885/9126/79848"
"MF","GO:0003678","DNA helicase activity",50,0.64673860187837,2.250626408814,4.62319121314729e-07,1.9527479076484e-05,1.52571103506559e-05,2817,"tags=62%, list=24%, signal=48%","5983/79075/9401/8607/4175/25788/4172/4171/4176/5984/4173/63922/51750/10146/10973/1763/84515/1663/89797/5982/641/5888/1660/5965/10721/10856/7520/5985/10111/170506/4174"
"CC","GO:0000781","chromosome, telomeric region",131,0.484044236949258,2.00711711939031,4.75742089537453e-07,1.99755376766732e-05,1.56071852107989e-05,3495,"tags=56%, list=29%, signal=40%","983/9401/11335/5591/4175/55226/4172/10635/1017/1111/4171/2237/4176/6741/4173/2146/51750/5111/11200/1763/3066/10189/55651/545/4436/4998/286053/25913/4683/641/65057/64858/5888/84321/5001/9025/79228/7515/23028/328/79035/54433/23595/7520/55183/3181/9894/23468/57187/197370/8520/1108/7158/80145/5371/10111/10728/54984/5892/170506/5424/4174/5931/142/222229/11016/9219/7517/1642/55791/546/4999/56897"
"CC","GO:0005583","fibrillar collagen trimer",10,0.913261209689862,2.12918809489434,6.02770571273669e-07,2.50132162208067e-05,1.95431985158413e-05,682,"tags=90%, list=6%, signal=85%","1277/1301/1278/1290/1281/1289/4060/85301/50509"
"CC","GO:0098643","banded collagen fibril",10,0.913261209689862,2.12918809489434,6.02770571273669e-07,2.50132162208067e-05,1.95431985158413e-05,682,"tags=90%, list=6%, signal=85%","1277/1301/1278/1290/1281/1289/4060/85301/50509"
"BP","GO:0071294","cellular response to zinc ion",17,-0.863287034943422,-2.21853158293084,6.1474240785267e-07,2.53616984076892e-05,1.98154728406365e-05,698,"tags=59%, list=6%, signal=55%","4504/326343/5025/4502/4501/4494/4493/4495/4496/4499"
"BP","GO:0006885","regulation of pH",73,-0.616483884553424,-2.14334605365541,6.20468412794579e-07,2.54499644924297e-05,1.98844364477581e-05,1930,"tags=36%, list=16%, signal=30%","282679/1657/23312/2896/84286/51382/1080/65010/84329/1910/79641/9114/5595/285195/5164/245972/11261/6548/596/5166/6549/6550/8671/760/1811/766"
"BP","GO:0034308","primary alcohol metabolic process",71,-0.631119463097674,-2.19555619573949,6.55923375206442e-07,2.67496107497983e-05,2.08998694326215e-05,2095,"tags=55%, list=18%, signal=46%","51573/8574/8694/10901/1562/231/1609/222236/1910/3479/224/55825/445329/1565/1645/1646/1577/130/55902/8644/216/654/1181/1576/5959/54884/650/653/79153/27163/6817/27284/3291/10170/6799/6338/125/126/57016"
"BP","GO:0006405","RNA export from nucleus",81,0.558487900307844,2.1386578715905,6.72138262334168e-07,2.72542463401329e-05,2.12941487381297e-05,3559,"tags=63%, list=30%, signal=44%","57510/29107/8480/11260/65083/6741/5901/10212/55110/9688/23511/9631/57122/23279/10189/3178/55795/22916/55308/84321/1660/79228/4928/7514/7919/56943/3181/4686/54888/6428/9972/79902/57187/55746/80145/9883/100101267/23636/9887/3267/11052/7175/10657/65125/8021/84324/55677/9775/26993/22794/26097"
"BP","GO:0061982","meiosis I cell cycle process",62,0.603101877083353,2.20901908975644,7.0503009603281e-07,2.8425531599141e-05,2.22092913624689e-05,2164,"tags=52%, list=18%, signal=42%","9319/1164/994/9088/6790/5347/7153/25788/84057/10635/9232/991/993/9134/8438/26271/57820/29893/898/11130/9133/10403/4439/2177/2956/10919/9700/5888/5889/995/146956/5719"
"CC","GO:0005657","replication fork",64,0.592334792238918,2.18603441432332,7.11866661326828e-07,2.85390159817806e-05,2.22979584014773e-05,2791,"tags=58%, list=23%, signal=45%","5983/29128/5425/4172/1111/55388/5984/1786/5111/5558/29980/83637/7516/8914/4796/5422/6119/54962/23649/5557/11169/5982/4683/641/27339/5889/56852/146956/988/5985/7158/9031/10498/604/5892/5890/5424"
"BP","GO:0000470","maturation of LSU-rRNA",26,0.756277515685093,2.28554319857764,7.89447044364166e-07,3.11217568156007e-05,2.43158922962928e-05,2268,"tags=77%, list=19%, signal=62%","23246/4839/23560/84154/55759/55003/56342/51504/9875/285855/8886/11224/81887/3692/6130/6129/23481/51018/54680/84549"
"BP","GO:0051784","negative regulation of nuclear division",55,0.621540620311932,2.19499446757772,7.8781746596071e-07,3.11217568156007e-05,2.43158922962928e-05,2470,"tags=62%, list=21%, signal=49%","9319/221150/4085/83540/5347/891/57405/332/699/655/701/1111/7272/1063/991/9212/27085/147841/3976/26271/55143/11130/10403/55055/10459/3619/55795/5810/220134/9183/9735/8379/7756/9184"
"BP","GO:0032200","telomere organization",146,0.46548596684805,1.94510210676049,7.81799513738649e-07,3.11217568156007e-05,2.43158922962928e-05,2735,"tags=45%, list=23%, signal=35%","4609/3326/9401/1736/908/8607/5591/55226/1017/7203/4751/9156/2237/26354/10575/2146/9212/22948/51750/5111/10576/86/9134/10574/10694/898/6119/1763/3320/10459/55651/545/3178/6950/286053/25913/4683/641/65057/64858/5888/1499/54552/5889/7515/328/79913/79035/54433/3183/10856/7520/3192/55183/3181/197370/3184/8520/5371/10111/10728/54984/5892/55869/170506"
"BP","GO:0071824","protein-DNA complex organization",163,0.444611320291104,1.91096189821187,8.46821641038427e-07,3.31991511867883e-05,2.59389914704821e-05,2969,"tags=37%, list=25%, signal=28%","4609/387103/29028/3159/6662/55355/8318/55839/4869/4171/1058/55723/1063/9787/6418/81620/64105/6599/8208/64946/3146/4673/10910/54107/6749/64425/2491/5925/6873/6597/64754/23234/54069/5888/90390/9442/11339/5889/1062/6874/83743/29079/23421/10036/79172/84246/9735/401541/10541/11198/8520/6602/6878/23270/54108/9014/5469/9412/4676/3148"
"BP","GO:0006270","DNA replication initiation",34,0.708324361366911,2.27224100431284,8.60735145341913e-07,3.35592120403638e-05,2.62203123800801e-05,1749,"tags=65%, list=15%, signal=55%","990/23594/4175/8318/4172/1017/4171/55388/4176/4173/81620/5558/64318/9134/64785/5422/898/23649/5557/4998/4683/5001"
