"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"BP","GO:0050995","negative regulation of lipid catabolic process",15,0.748545849420548,1.86916066328968,0.00286066444643255,0.0310861790381093,0.0255516106998997,34,"tags=20%, list=0%, signal=20%","336/345/341"
"BP","GO:0098719","sodium ion import across plasma membrane",12,-0.796140148631064,-1.84558919815763,0.00288131117486835,0.0312626668147796,0.0256966766778457,425,"tags=50%, list=4%, signal=48%","54795/6548/6337/6549/6550/6338"
"CC","GO:0030686","90S preribosome",23,0.667944738602012,1.84230656540553,0.00290634470199826,0.0314861404662285,0.0258803631880632,2655,"tags=74%, list=22%, signal=58%","23246/65083/55759/10885/8602/51096/79050/27340/55127/26155/23481/10607/10199/92856/134430/55813/88745"
"CC","GO:0101031","protein folding chaperone complex",38,0.605372572749923,1.83533353448383,0.00292386145528587,0.0315794838458273,0.0259570877573324,2298,"tags=55%, list=19%, signal=45%","3326/908/8607/5202/81572/7203/10576/10575/10963/8624/10694/10471/10574/22948/6950/23234/3297/3312/10856/10728/79657"
"CC","GO:0030018","Z disc",81,-0.48430109244891,-1.65924583738568,0.00292295530564039,0.0315794838458273,0.0259570877573324,2074,"tags=40%, list=17%, signal=33%","29964/5532/11080/55742/7871/103910/91624/9124/23224/51719/1465/2317/3856/64236/667/10398/2318/57158/287/100820829/114907/2281/845/3880/288/4660/6717/1410/171024/51676/5239/1674"
"BP","GO:0070192","chromosome organization involved in meiotic cell cycle",27,0.63910124777423,1.82417235137857,0.00294588620095634,0.0317690098510428,0.0261128706438955,2021,"tags=52%, list=17%, signal=43%","9319/84057/57820/23310/23397/9134/898/4439/29893/10051/9918/2177/10592/10919"
"BP","GO:0010644","cell communication by electrical coupling",20,-0.698055508990821,-1.82784001127748,0.0029658029281665,0.0319352618790129,0.0262495232409082,2101,"tags=65%, list=18%, signal=54%","2706/808/476/805/801/5318/817/5144/845/288/477/6717/857"
"BP","GO:0045907","positive regulation of vasoconstriction",18,0.720132369547206,1.87958931922106,0.00297903492906583,0.0320291391767442,0.0263266866697828,8,"tags=17%, list=0%, signal=17%","2266/2243/2244"
"BP","GO:0000096","sulfur amino acid metabolic process",23,0.666606675625629,1.83861595738985,0.00298542770788357,0.0320493116719241,0.0263432676636402,1819,"tags=48%, list=15%, signal=41%","189/1373/1800/875/4522/4507/51380/2730/58478/2729/6611"
"BP","GO:0002793","positive regulation of peptide secretion",73,0.501304545926963,1.7196950258405,0.00301127556682629,0.0322328958422993,0.0264941665967751,648,"tags=16%, list=5%, signal=16%","2266/2243/2244/5950/7036/8431/3651/7447/6279/18/6659/55107"
"BP","GO:0006282","regulation of DNA repair",180,0.390065823999487,1.52903663753143,0.00301488321708542,0.0322328958422993,0.0264941665967751,3692,"tags=43%, list=31%, signal=30%","8870/5347/8313/8607/5591/2305/57332/10635/23450/8914/7913/1111/63979/3146/10459/5111/54929/6502/86/2521/2648/7335/9643/8451/6599/7336/55010/672/1663/3276/8089/605/10155/4255/545/79913/116028/8091/56943/3297/6874/6873/10721/56893/64769/10856/23028/7515/1660/55183/51377/6944/51750/7334/6188/148479/25913/6597/142/4683/9025/5888/56907/580/80311/5371/5531/8464/83444/165918/29117/117143/84126/1457/6880/708/6602"
"BP","GO:1904062","regulation of monoatomic cation transmembrane transport",194,-0.393312090229246,-1.52716407660198,0.00301615598073376,0.0322328958422993,0.0264941665967751,1129,"tags=24%, list=9%, signal=22%","53826/10939/782/10142/817/1520/57158/483/287/9843/6330/6844/930/596/11261/5144/9495/2281/79026/9465/845/931/130497/2185/3790/3779/23327/288/5023/150/623/477/5025/6548/3306/6717/857/2946/5350/2273/5349/5354/389816/1908/406967/406992"
"BP","GO:0030593","neutrophil chemotaxis",67,0.500431358742773,1.69590610454307,0.00303147453262332,0.0323478846368347,0.0265886828417346,1462,"tags=34%, list=12%, signal=30%","6288/1800/2920/6372/3627/6280/54210/6279/6373/4283/2921/6348/728/7130/3553/2919/64065/1441/5478/3689/64127/3672/2207"
