"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","direction"
"OIP5",0.441986182906043,2.21068902605965,2.22323226451584,0.0303850805276718,0.070617855609061,-4.11373663900109,"OIP5","NS"
"CD4",-0.471298602563801,3.6386503773064,-2.22318278103649,0.0303886147097815,0.070617855609061,-4.11383665543112,"CD4","NS"
"CCNI2",0.423021377932932,2.04578444957283,2.22189974724733,0.0304803776394484,0.0708187803892036,-4.11642929015892,"CCNI2","NS"
"RC3H1",-0.177312005703973,1.85585713368542,-2.22182286541461,0.0304858840091408,0.0708192597583692,-4.11658460638494,"RC3H1","NS"
"TAF10",0.220625624698515,5.31829313229098,2.2210635283231,0.0305403158324414,0.0709333739184916,-4.11811837542012,"TAF10","NS"
"SREK1",0.161159547259646,3.27300844077454,2.22092723357815,0.0305500949716217,0.070943755476331,-4.1183936283059,"SREK1","NS"
"PIP4K2C",-0.229578395154717,3.98229441995854,-2.22032862676678,0.0305930777071533,0.0710312257728902,-4.11960237375297,"PIP4K2C","NS"
"TMEM128",-0.246353159729037,2.97586961632882,-2.21996304436663,0.0306193544590845,0.0710605984247911,-4.1203404484183,"TMEM128","NS"
"EP400",0.136502060997584,2.24654398321961,2.21994578419604,0.0306205955505429,0.0710605984247911,-4.12037529250246,"EP400","NS"
"C1orf233",0.488878620284596,1.6563880418226,2.21993066388946,0.0306216828117009,0.0710605984247911,-4.12040581653734,"C1orf233","NS"
"TARDBP",0.164089063888035,5.25161887205745,2.21921501072052,0.0306731825211062,0.0711677487145375,-4.12185034021796,"TARDBP","NS"
"FNDC3A",0.246551233712248,3.93803091820554,2.21867480765564,0.0307121071319059,0.0712456901903693,-4.12294046750832,"FNDC3A","NS"
"WARS",0.41342697167417,5.10176604245114,2.21854895401785,0.0307211818392292,0.0712543710702621,-4.12319440795683,"WARS","NS"
"FBXW7",-0.245264830572185,2.50447417543446,-2.21844847490243,0.0307284286090561,0.0712588099746976,-4.12339714053321,"FBXW7","NS"
"CYB5D2",-0.373589018812893,2.76383570845029,-2.21810873233139,0.030752942748486,0.0713032831867553,-4.1240825687308,"CYB5D2","NS"
"HIF1A-AS2",0.325666567532577,3.79600928731877,2.21791249095292,0.030767110415059,0.0713237559621821,-4.1244784446312,"HIF1A-AS2","NS"
"TMEM209",0.274844511860698,2.99078038479415,2.21778772708724,0.0307761207498072,0.0713322680761361,-4.12473011450605,"TMEM209","NS"
"PPARG",-0.516219412432667,4.76494601801279,-2.21723630856913,0.0308159715948214,0.0714122463492895,-4.12584227851898,"PPARG","NS"
"CXCL6",0.723765588286971,1.39438724231303,2.21682993619823,0.0308453691345415,0.071467976829503,-4.1266617500187,"CXCL6","NS"
"SELP",0.399306541324671,1.08629269590415,2.21652458791397,0.0308674747311308,0.0715067956583511,-4.1272774190808,"SELP","NS"
"ARAP3",0.354200280301994,1.86512456398537,2.21548878564976,0.0309425654842486,0.0716567329408667,-4.12936536710426,"ARAP3","NS"
"FKBP4",0.343756031470452,5.33729315003004,2.2154296359496,0.0309468584171614,0.0716567329408667,-4.12948457536124,"FKBP4","NS"
"C1QC",-0.580872415602896,6.38696379120473,-2.215409959235,0.0309482866189,0.0716567329408667,-4.12952423054493,"C1QC","NS"
"DDO",-0.391307418253849,1.56936762942341,-2.2149779504486,0.0309796579174187,0.0717169419772261,-4.13039479958696,"DDO","NS"
"C16orf58",0.218356735428533,4.9554528382068,2.21477977692968,0.0309940581208123,0.0717378494041735,-4.13079410481275,"C16orf58","NS"
"EGFR",-0.362183435714719,2.97791532419109,-2.21459711060734,0.0310073367290991,0.0717485153496566,-4.13116213790513,"EGFR","NS"
"UPF1",0.186291074475363,4.70916981706257,2.21456865805744,0.0310094054890186,0.0717485153496566,-4.13121946136565,"UPF1","NS"
"FIG4",-0.213423469641927,2.56830331072208,-2.21445706446294,0.0310175205365707,0.0717548665875445,-4.13144428350521,"FIG4","NS"
"VWF",0.584973885545723,2.74110239148084,2.21405188008244,0.03104700115598,0.0718106334509616,-4.13226050954663,"VWF","NS"
"DEPTOR",0.447450103102741,3.53263260961355,2.21353428345262,0.031084696676197,0.0718853785024825,-4.13330300476867,"DEPTOR","NS"
"SMYD4",-0.174704592415433,1.5851031421666,-2.2134423555146,0.0310913958227479,0.0718884289641041,-4.1334881363553,"SMYD4","NS"
"SEPHS2",-0.402393691584114,6.26592351238515,-2.21325041183095,0.0311053876113076,0.0719028673699787,-4.13387466680551,"SEPHS2","NS"
"DCP1A",0.202278826195632,2.50725377872366,2.21320906051277,0.0311084026542319,0.0719028673699787,-4.13395793521055,"DCP1A","NS"
"CD24",-0.912777326473352,8.94530016412997,-2.21228333629641,0.0311759673658194,0.072046571418554,-4.13582171130353,"CD24","NS"
"RBBP7",0.294621157390935,5.72973577041384,2.21168968351219,0.0312193636603332,0.0721343830588573,-4.13701658172697,"RBBP7","NS"
"NEK11",0.28359364433145,1.31109205961164,2.21153060791508,0.0312310012065459,0.072148796355786,-4.13733671477164,"NEK11","NS"
"PTRH2",0.341141315348767,4.16831381746202,2.2112282017874,0.0312531349812049,0.0721777708623566,-4.13794524184461,"PTRH2","NS"
"FOLH1",0.579124585295468,1.20616514612641,2.21121165030502,0.0312543468200565,0.0721777708623566,-4.13797854613657,"FOLH1","NS"
"AMDHD2",-0.259307157937944,3.10756648133015,-2.21096049426375,0.0312727406300626,0.0721998877127227,-4.13848388780144,"AMDHD2","NS"
"EFNA2",-0.633836975671189,3.46753017956755,-2.21093333047086,0.0312747305853345,0.0721998877127227,-4.13853854019531,"EFNA2","NS"
"HSD3B7",0.345224659651219,3.30873893290585,2.21031574368477,0.0313200036718018,0.0722919138128547,-4.13978094803405,"HSD3B7","NS"
"TECR",0.333305402584253,6.2738889018972,2.21007591583558,0.0313376001683292,0.0723165150833065,-4.14026333531353,"TECR","NS"
"SLC25A3",-0.215131606381068,7.55546837489047,-2.21002296772159,0.031341486218188,0.0723165150833065,-4.14036982874925,"SLC25A3","NS"
"ZNF304",-0.291218250905507,1.13561019275387,-2.20993519020374,0.0313479294575949,0.0723188938902595,-4.14054636916908,"ZNF304","NS"
"C11orf67",-0.36966956890243,4.53449088362419,-2.20967507883905,0.0313670295858876,0.0723504659635128,-4.14106947769015,"C11orf67","NS"
"RGMA",-0.659093963592586,1.70327668161028,-2.20902205337497,0.0314150268478454,0.0724486690957734,-4.14238254818899,"RGMA","NS"
"DYSF",0.454958709448268,1.59342778967548,2.20852536534133,0.0314515766776689,0.072520443065921,-4.14338104744231,"DYSF","NS"
"MAN2B2",-0.271043055989711,3.51187231468413,-2.20841376050676,0.0314597945097031,0.0725268761626385,-4.1436053826158,"MAN2B2","NS"
"LYPLAL1",0.249531786442783,3.17386575571312,2.20808960243203,0.0314836740723889,0.0725694070994067,-4.14425691440442,"LYPLAL1","NS"
"MIIP",0.298293102517588,3.11053673819465,2.20792586866096,0.031495741824796,0.0725847020115427,-4.14458597597655,"MIIP","NS"
"SDPR",-0.682238780353085,2.25506794120826,-2.2075046685023,0.0315268044905505,0.0726437595452209,-4.14543238372587,"SDPR","NS"
"DEPDC1B",0.459451217272753,2.06598506410901,2.20684047083979,0.0315758426044921,0.0727421237144324,-4.14676682580855,"DEPDC1B","NS"
"ROBO4",0.411682722914248,1.79186324074171,2.20677903757579,0.0315803816544995,0.0727421237144324,-4.14689023475634,"ROBO4","NS"
"MAZ",-0.217700507632634,6.17170890155833,-2.2063725638239,0.0316104288146509,0.0727987848709695,-4.14770669924731,"MAZ","NS"
"DYRK4",0.21005523195085,2.25963968554789,2.20613228195893,0.0316282026647367,0.0728271659497176,-4.14818928321679,"DYRK4","NS"
"POLD1",0.30743261831889,3.22369282800654,2.20559573026038,0.0316679236402211,0.0728995573954637,-4.14926674014861,"POLD1","NS"
"DIS3L2",0.164532652567219,2.90524244686502,2.20556023224314,0.0316705531118595,0.0728995573954637,-4.14933801652849,"DIS3L2","NS"
"RELA",0.187868438207691,4.7909754544989,2.2051545519255,0.0317006170465767,0.0729561910052287,-4.15015251330485,"RELA","NS"
"MMP12",1.10362489634444,3.30786546563263,2.20488299686529,0.031720755350156,0.0729899660734949,-4.1506976531153,"MMP12","NS"
"NDUFS1",-0.334926087203224,4.92998046566456,-2.20460500698494,0.0317413825320848,0.0730248542344553,-4.15125565285357,"NDUFS1","NS"
"NPEPL1",0.367828697907365,3.90694058062278,2.20436150788832,0.0317594601671574,0.0730538658553205,-4.15174437234757,"NPEPL1","NS"
"FH",-0.33604122023822,5.15830850370762,-2.203643139892,0.0318128454575811,0.0731640690196555,-4.15318592498745,"FH","NS"
"FAM149A",-0.466673449838108,1.69643682234359,-2.20301252614306,0.0318597744759962,0.0732593884956568,-4.15445105874068,"FAM149A","NS"
"DCBLD1",0.30294696127386,2.32544250208793,2.20285496974667,0.0318715090285308,0.0732725882811495,-4.15476710048544,"DCBLD1","NS"
"HLA-E",-0.353035789497654,7.92170900792901,-2.20278821132758,0.0318764822390602,0.0732725882811495,-4.15490100526167,"HLA-E","NS"
"ZNF415",-0.361909798467367,1.15962628970393,-2.20253135452289,0.0318956233255173,0.0733039764147854,-4.15541618001376,"ZNF415","NS"
"POLR2L",0.29332870055052,5.4293160051179,2.20207252126621,0.0319298409925719,0.073369997479406,-4.15633633228711,"POLR2L","NS"
"MUC12",-1.16823968346427,4.29841353139899,-2.20133843294193,0.0319846531770658,0.0734755712891097,-4.15780815429799,"MUC12","NS"
"TMEM167B",-0.240467163728102,4.32297879555909,-2.2013099272875,0.0319867832801041,0.0734755712891097,-4.15786529892867,"TMEM167B","NS"
"KIAA1468",-0.322423159496294,2.84325767905402,-2.20107268906438,0.0320045159048038,0.0735035484430652,-4.15834086106762,"KIAA1468","NS"
"AMIGO2",0.653543087882964,2.29705905409699,2.20099981483811,0.0320099647051486,0.0735035484430652,-4.15848693446087,"AMIGO2","NS"
"CTBS",-0.315842077079618,3.20592031383907,-2.19982817905056,0.0320976800771044,0.0736853704720226,-4.16083487793696,"CTBS","NS"
"CCDC6",0.24982462170551,3.87606977587335,2.19979489185915,0.0321001752370636,0.0736853704720226,-4.16090156985782,"CCDC6","NS"
"NDUFAF6",0.234987558657274,2.13202904862958,2.1996598396942,0.0321103003057665,0.0736858281003209,-4.16117214244703,"NDUFAF6","NS"
"GALNT8",-0.624084198975422,1.72310843267508,-2.19964512366552,0.0321114037590307,0.0736858281003209,-4.16120162469342,"GALNT8","NS"
"UROS",0.274728721807549,3.85731964460575,2.19846527937632,0.0321999808801812,0.0738763984411027,-4.16356480307212,"UROS","NS"
"TMEM44",-0.312985409477885,2.80528062450433,-2.19838080370356,0.0322063311608596,0.0738782827418723,-4.16373396380833,"TMEM44","NS"
"ZKSCAN5",0.127947491031925,1.62276338015813,2.19723462269087,0.0322926019707926,0.0740618735346491,-4.16602863222199,"ZKSCAN5","NS"
"PURB",0.30970666110639,3.06783273746254,2.19717028244425,0.032297450762341,0.0740618735346491,-4.16615741265804,"PURB","NS"
"CERS5",0.222493238503962,3.55049704052485,2.19676804214512,0.0323277788177703,0.0741186994789031,-4.16696244692072,"CERS5","NS"
"SLC16A1",-0.562485222833638,4.72757502632614,-2.19661181784806,0.0323395645539116,0.0741327107735042,-4.16727507747059,"SLC16A1","NS"
"BRAF",0.185130095660602,1.70144951568681,2.19653997053598,0.0323449860656735,0.0741327107735042,-4.16741884956265,"BRAF","NS"
"CCDC122",0.29719813711238,1.23934812451284,2.19551696468085,0.032422267723555,0.0742938869056735,-4.16946553957612,"CCDC122","NS"
"P2RX5",-0.387253635202874,0.95494556842406,-2.19539124746521,0.0324317760763409,0.0742938869056735,-4.16971700259512,"P2RX5","NS"
"UHRF2",0.210654570281634,2.91795868510618,2.19538842736347,0.0324319893968563,0.0742938869056735,-4.16972264330239,"UHRF2","NS"
"SERTAD2",-0.192047373012599,2.64023132618093,-2.19507188413992,0.032455941479152,0.0743360113206082,-4.17035574795414,"SERTAD2","NS"
"KIAA0240",-0.192347570996153,2.48685956561925,-2.19456559647063,0.0324942834528615,0.0744064724183896,-4.17136819438742,"KIAA0240","NS"
