"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0006641","triglyceride metabolic process","20/656","108/18986",0.185185185185185,5.35964317976513,8.5952956617524,7.50989091715653e-10,9.13578230072092e-08,6.78064098335896e-08,"APOA2/APOC2/APOC3/APOH/APOC1/DGAT2/SLC27A5/CPS1/RGN/ACSL1/INSIG1/LIPC/C3/APOE/LIPG/PCSK9/GPAM/AGMO/LDLR/SIK1",20
"BP","GO:0006631","fatty acid metabolic process","41/656","405/18986",0.101234567901235,2.92993827160494,7.42698208549436,7.85459207585769e-10,9.32205976612769e-08,6.91889741008158e-08,"APOC2/APOC3/CYP2E1/APOC1/SLC27A5/CYP2C9/RGN/MLXIPL/TRIB3/ACSL1/INSIG1/CYP2D6/LIPC/SCD/FASN/CYP4F3/COMT/C3/ELOVL5/CYP3A4/MSMO1/AIG1/CYP2B6/AKR1C1/MIF/GDF15/CYP1B1/ABHD2/CES1/LIPG/UGT1A6/UGT1A1/CYP4F2/FADS1/GSTA1/SOX9/ECHDC3/ACSL6/FADS2/FABP3/IL1B",41
"BP","GO:0061045","negative regulation of wound healing","17/656","78/18986",0.217948717948718,6.30788774233896,8.88632559558833,1.02033372321939e-09,1.18212949932989e-07,8.77384712873614e-08,"FGG/VTN/FGB/FGA/APOH/SERPINF2/F12/HRG/PROC/KNG1/SERPINE1/APOE/FAP/SERPING1/SERPINE2/TFPI/PROS1",17
"BP","GO:0071466","cellular response to xenobiotic stimulus","27/656","198/18986",0.136363636363636,3.94664634146341,7.88490240016224,1.15405217845098e-09,1.30595765124244e-07,9.69290826013542e-08,"CYP2E1/CYP2C9/ACSL1/SLCO1B3/AOX1/CYP2D6/PON3/GSTO1/MYC/CYP3A4/SLC29A1/E2F1/CYP2B6/AKR1C1/CYP1B1/SMOX/UGT2B7/UGT1A6/FBP1/CRYZ/UGT1A1/CYP4F2/DPEP1/GSTA1/UGT2B15/IL1B/CYP2W1",27
"BP","GO:1902652","secondary alcohol metabolic process","24/656","159/18986",0.150943396226415,4.36861481822365,8.06929036793474,1.21904833951396e-09,1.33602557639222e-07,9.91607448591022e-08,"APOA2/APOA1/APOC1/SEC14L2/NR0B2/CYP2C9/INSIG1/CYP2D6/LIPC/DHCR7/CYP3A4/MSMO1/CYP39A1/APOE/SQLE/CES1/PCSK9/ERRFI1/LCAT/SULT2B1/TM7SF2/LEPR/LDLR/CYP27A1",24
"BP","GO:0034375","high-density lipoprotein particle remodeling","9/656","17/18986",0.529411764705882,15.3222740315638,11.1760982051729,1.26104948507147e-09,1.33602557639222e-07,9.91607448591022e-08,"APOA2/APOC3/APOA1/APOC1/APOM/LIPC/APOE/LIPG/LCAT",9
"BP","GO:0007599","hemostasis","30/656","241/18986",0.12448132780083,3.60274769760146,7.69261252751653,1.29044804953626e-09,1.33602557639222e-07,9.91607448591022e-08,"FGL1/FGG/VTN/FGB/FGA/APOH/SERPINF2/SERPINC1/F12/HRG/SERPINA10/SAA1/PROC/KNG1/SERPINA1/SERPINE1/C4BPB/F10/SHH/APOE/FAP/SERPING1/CYP4F2/F2R/ITGA2/COMP/SERPINE2/TFPI/TFPI2/PROS1",30
"BP","GO:0050817","coagulation","30/656","241/18986",0.12448132780083,3.60274769760146,7.69261252751653,1.29044804953626e-09,1.33602557639222e-07,9.91607448591022e-08,"FGL1/FGG/VTN/FGB/FGA/APOH/SERPINF2/SERPINC1/F12/HRG/SERPINA10/SAA1/PROC/KNG1/SERPINA1/SERPINE1/C4BPB/F10/SHH/APOE/FAP/SERPING1/CYP4F2/F2R/ITGA2/COMP/SERPINE2/TFPI/TFPI2/PROS1",30
"BP","GO:1905952","regulation of lipid localization","26/656","188/18986",0.138297872340426,4.00262714063311,7.82709303140883,1.72649371159956e-09,1.73862223041513e-07,1.29041747735183e-07,"APOA2/APOC2/APOC3/APOA1/CRP/APOC1/SPP1/AGT/PLIN2/ACSL1/HILPDA/TMEM97/SHH/C3/APOE/MSR1/MIF/TREM2/CES1/LIPG/PCSK9/CYP4F2/AGTR1/FABP3/IL1B/PRAP1",26
"BP","GO:0097006","regulation of plasma lipoprotein particle levels","18/656","91/18986",0.197802197802198,5.72480568212276,8.54687176343415,1.75077043342255e-09,1.73862223041513e-07,1.29041747735183e-07,"APOA2/APOC2/APOC3/APOA1/APOC1/AGT/DGAT2/APOM/LIPC/APOE/MSR1/TREM2/LIPG/PCSK9/LCAT/PLAGL2/LDLR/AGTR1",18
"BP","GO:0034384","high-density lipoprotein particle clearance","9/656","18/18986",0.5,14.4710365853659,10.8168918023017,2.44488145210827e-09,2.34306852876296e-07,1.73904171202667e-07,"APOA2/APOC2/APOC3/APOA1/APOM/APOE/TREM2/LIPG/LDLR",9
"BP","GO:0006805","xenobiotic metabolic process","21/656","127/18986",0.165354330708661,4.78569713846745,8.09775037665217,2.45574383409188e-09,2.34306852876296e-07,1.73904171202667e-07,"CYP2E1/CYP2C9/ACSL1/SLCO1B3/AOX1/CYP2D6/GSTO1/CYP3A4/SLC29A1/CYP2B6/AKR1C1/CYP1B1/SMOX/UGT2B7/UGT1A6/CRYZ/UGT1A1/CYP4F2/GSTA1/UGT2B15/CYP2W1",21
"BP","GO:0034381","plasma lipoprotein particle clearance","14/656","55/18986",0.254545454545455,7.36707317073171,8.94561896792514,3.53675774978312e-09,3.30958907893167e-07,2.45639996751131e-07,"APOA2/APOC2/APOC3/APOA1/APOC1/DGAT2/APOM/LIPC/APOE/MSR1/TREM2/LIPG/PCSK9/LDLR",14
"BP","GO:0015918","sterol transport","21/656","132/18986",0.159090909090909,4.60442073170732,7.8613418354036,5.04101919929711e-09,4.62822630637353e-07,3.43510166291725e-07,"APOA2/APOC2/APOC3/APOA1/APOC1/APOM/LIPC/COMT/TMEM97/SHH/APOE/MSR1/TREM2/CES1/LIPG/PCSK9/SYT7/LCAT/GRAMD1A/LDLR/CLU",21
"BP","GO:0045807","positive regulation of endocytosis","23/656","159/18986",0.144654088050314,4.18658920079767,7.63326023665739,6.25498643383588e-09,5.63643777537878e-07,4.1834032075031e-07,"FCN3/APOA2/COLEC11/APOA1/VTN/AHSG/TF/HAMP/TFR2/SERPINE1/C2/FCGR1A/SLC11A1/VEGFA/C4B/C3/APOE/TREM2/PCSK9/LYAR/C4A/ITGA2/CLU",23
"BP","GO:0031100","animal organ regeneration","15/656","67/18986",0.223880597014925,6.47956862031307,8.49983843340445,6.65162472831215e-09,5.88487380508489e-07,4.36779415173952e-07,"APOA2/CLDN1/VTN/SERPINA10/NR0B2/RGN/CEBPB/NNMT/CCND1/SLC7A5/PDX1/UGT1A1/CDK1/AURKA/ANXA3",15
"BP","GO:0006639","acylglycerol metabolic process","21/656","135/18986",0.155555555555556,4.50210027100271,7.72510252564681,7.62839048861343e-09,6.62852644957017e-07,4.91973830196103e-07,"APOA2/APOC2/APOC3/APOH/APOC1/DGAT2/SLC27A5/CPS1/RGN/ACSL1/INSIG1/LIPC/C3/APOE/ABHD2/LIPG/PCSK9/GPAM/AGMO/LDLR/SIK1",21
"BP","GO:0030301","cholesterol transport","20/656","123/18986",0.16260162601626,4.70602815784255,7.80066946331461,7.94002729134162e-09,6.77827592976637e-07,5.03088340472634e-07,"APOA2/APOC2/APOC3/APOA1/APOC1/APOM/LIPC/COMT/TMEM97/SHH/APOE/MSR1/TREM2/CES1/LIPG/PCSK9/SYT7/LCAT/LDLR/CLU",20
"BP","GO:0006638","neutral lipid metabolic process","21/656","136/18986",0.154411764705882,4.46899659253945,7.68057329795696,8.73408017631502e-09,7.32759209274981e-07,5.43858967058745e-07,"APOA2/APOC2/APOC3/APOH/APOC1/DGAT2/SLC27A5/CPS1/RGN/ACSL1/INSIG1/LIPC/C3/APOE/ABHD2/LIPG/PCSK9/GPAM/AGMO/LDLR/SIK1",21
"BP","GO:0071827","plasma lipoprotein particle organization","13/656","50/18986",0.26,7.52493902439025,8.73963560275241,9.71313963888528e-09,8.01087075979929e-07,5.945723836042e-07,"APOA2/APOC2/APOC3/APOA1/APOC1/AGT/APOM/LIPC/APOE/LIPG/LCAT/PLAGL2/AGTR1",13
