"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","direction"
"FAM185A",0.0170545931155137,1.94594444917153,0.192950606004116,0.847718046329907,0.953548996974512,-6.66042223195459,"FAM185A","NS"
"ACAD8",0.0197658240978629,3.35406618137702,0.192811053389361,0.84782680218403,0.953591054779714,-6.66044920178241,"ACAD8","NS"
"RAB40B",0.0359207505374144,3.73849279202785,0.192625228452256,0.847971623511274,0.953608285124446,-6.66048508391376,"RAB40B","NS"
"EIF1B",0.0220585759479075,5.22073421265873,0.19260824994916,0.847984855848576,0.953608285124446,-6.66048836067941,"EIF1B","NS"
"WISP1",0.0425762092181308,1.15648332696013,0.192229499483473,0.848280049609581,0.953715780542418,-6.66056138262863,"WISP1","NS"
"RPS26",-0.034723494660037,8.44912072665979,-0.192216978492897,0.848289808699513,0.953715780542418,-6.66056379418693,"RPS26","NS"
"DCP1A",0.0175669841150956,2.50725377872366,0.192207010197951,0.848297578188695,0.953715780542418,-6.66056571398074,"DCP1A","NS"
"KLK10",0.0911466870557138,1.37209873316062,0.191975714606138,0.84847785886846,0.953715780542418,-6.66061023127817,"KLK10","NS"
"PRPF40A",0.0222216696263748,3.89679522604692,0.191804595552227,0.84861124088419,0.953715780542418,-6.66064313198971,"PRPF40A","NS"
"PLEC",-0.0212502102958902,4.77409804115037,-0.191760651026245,0.848645495003686,0.953715780542418,-6.66065157638589,"PLEC","NS"
"KDM6A",0.022071479901967,2.59900881563329,0.191760249490397,0.848645807996399,0.953715780542418,-6.66065165353625,"KDM6A","NS"
"NFYB",-0.0182332317315783,3.14892905025064,-0.191629928487178,0.848747393060008,0.953715780542418,-6.66067668465355,"NFYB","NS"
"CLEC11A",-0.0445653937664514,3.25456188630643,-0.191554716427551,0.848806021944238,0.953715780542418,-6.66069112310901,"CLEC11A","NS"
"ABCA7",-0.0277827610632546,1.86096894284695,-0.191477863733167,0.848865930614904,0.953715780542418,-6.66070587067027,"ABCA7","NS"
"PRRG4",-0.0352025747552114,2.58269168284727,-0.191447132818892,0.848889886411614,0.953715780542418,-6.6607117660904,"PRRG4","NS"
