"gene","HR","z","p","lower","upper"
"GPR15",0.702502528946874,-2.00310626731742,0.0451658834360573,0.497277299403013,0.992423751836687
"CCL28",0.829866217475756,-1.98668710312708,0.0469570818926869,0.690407659755612,0.997494638386971
"HEPACAM2",0.86932956939577,-1.97883933521543,0.0478340982168266,0.756744022135967,0.998665173585012
"ACOT11",0.687902168287419,-1.96525423714233,0.0493848193364402,0.473686183500734,0.998993446752707
"LGALS2",0.862813656450639,-1.9634431928459,0.049594699143224,0.744642081277568,0.99973856497673
"SCGB2A1",0.774669378334372,-1.94203079478253,0.0521333724064721,0.598699439978637,1.0023604594492
"CA4",0.883561035487305,-1.91285754144873,0.0557662923517676,0.778303746113705,1.00305325180504
"F2RL1",0.723328180027512,-1.8985489785471,0.0576238022044141,0.517750463091342,1.01053247330386
"GALNT7",0.771895277662288,-1.8934745461115,0.0582947900965247,0.590429945396979,1.009132962043
"CDKN2B-AS1",0.242432410096836,-1.87256996765228,0.0611277917094982,0.055012301975289,1.06836964378914
"FCGBP",0.92138726937765,-1.85624076721947,0.0634192476814101,0.845079394975746,1.004585492462
"MAP2K6",0.71630110647727,-1.85027098912523,0.064274501785926,0.503037791186102,1.01997759240069
"CA2",0.89522189213593,-1.83245130113203,0.0668842108779945,0.795273378021667,1.00773175402031
"FUCA1",0.726508956706363,-1.81997756065831,0.0687624221714308,0.515002192335385,1.02487964523234
"GUCA2A",0.910606423326199,-1.81880770377707,0.0689407726688114,0.823199515671612,1.00729415216726
"CCL15",0.658797220618283,-1.81779059115885,0.0690961452492876,0.42007582945521,1.03317960106689
"TINAG",0.837299996286384,-1.81672535666107,0.0692591771226777,0.691324238626575,1.01409909360905
"CCNYL1",0.616500214311705,-1.80603080843268,0.0709135273820398,0.364721925319586,1.04208847305613
"NMNAT1",0.633149645438889,-1.76220387846304,0.0780348570542044,0.380835260163407,1.05262961561748
"NR3C2",0.785334043425171,-1.75226567286303,0.0797281357267595,0.599334825032289,1.02905677094486
"GUCA2B",0.852717067395745,-1.75146804211267,0.0798653214607918,0.713465350225065,1.01914745656341
"LRRC19",0.85792443607209,-1.73409528903887,0.0829011772658483,0.721488986799571,1.02016018466833
"EDN3",0.818005495181472,-1.72823186743872,0.0839466625502538,0.651349751629069,1.02730213448848
"IMPA2",0.762394511882027,-1.71874669636185,0.0856605052139517,0.559530875306021,1.03880843292148
"VSIG2",0.914024393708249,-1.71753830450889,0.085880861925125,0.824906783044037,1.01276969648719
"SMPDL3A",0.789974164306116,-1.71527100776752,0.0862955514595258,0.603419976627542,1.03420371290814
"CCDC68",0.765990074640816,-1.68946779342671,0.0911298187926108,0.562224232231725,1.04360637768885
"ATP2A3",0.853652172203778,-1.68874591206222,0.0912681330768626,0.71043671444235,1.0257381358454
"VWA5A",0.813770785199139,-1.6856360438508,0.0918659223596697,0.640381680927858,1.03410655015009
"FER1L6",0.738677557465494,-1.67814963703072,0.0933178906923836,0.518584140663352,1.05218129734014
"PAQR8",0.819001648754445,-1.66933752817482,0.0950505068009321,0.64784737308009,1.03537303466009
"CCNJL",0.712026085397466,-1.66673525395202,0.0955670595917369,0.477574812357333,1.06157429824231
"MS4A12",0.893049645503892,-1.63964545517024,0.101078906120227,0.780107297673392,1.02234355673023
"LPCAT4",1.3039107881295,1.63752961701582,0.101519855775442,0.949089909015602,1.79138280499044
"FAM118B",0.709766455403474,-1.62896307342448,0.10332083633224,0.469870310773701,1.07214354613402
"SLC26A3",0.935354642905621,-1.61386693986495,0.106556290981122,0.862439069983176,1.01443491888902
"MUC2",0.939330586971149,-1.5898397063178,0.111870941188087,0.869578719415632,1.01467748913233
"CLDN8",0.753549535519619,-1.56476700473837,0.117637550969302,0.528672859949439,1.07407991879163
"SH3BGRL2",0.766950084197211,-1.55380062237039,0.120231982058112,0.54879775695697,1.07182003605789
"DENND1C",1.40422572771371,1.55034943788376,0.121057667332827,0.914210071873042,2.15688926980772
"C4orf33",0.709392531669077,-1.54918026318058,0.121338392623591,0.459445520198418,1.09531542231717
"ABCA5",0.709939976900578,-1.54070504596152,0.12338858817301,0.459153050920429,1.09770537251409
"HRCT1",0.871118320888497,-1.51797570354718,0.129020523767237,0.72896484784718,1.04099276011548
"CEACAM7",0.935032363407421,-1.51620333131502,0.129467945976325,0.857264542650749,1.01985498888813
