"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","direction"
"CYB5D2",-0.237665545255851,2.76383570845029,-1.41109078361409,0.163925880352954,0.235879562058601,-5.86096011020237,"CYB5D2","NS"
"DDX59",0.136354941111973,2.89797876953176,1.4109208570508,0.163975744882928,0.235925907518647,-5.86119294429684,"DDX59","NS"
"IQCJ-SCHIP1",0.31836518334064,1.35576624593656,1.41077490126509,0.164018584624855,0.235962136924775,-5.8613929127474,"IQCJ-SCHIP1","NS"
"EEF1G",0.170447721740096,10.206539701601,1.41069378015484,0.16404239837302,0.235970990102303,-5.86150404538008,"EEF1G","NS"
"OGFOD2",-0.137523964513222,2.34802277262961,-1.41051599000171,0.164094599453195,0.236020671463249,-5.86174758993164,"OGFOD2","NS"
"ELF2",-0.136511311273516,3.14130174877841,-1.41002158638305,0.164239829234723,0.23620413284193,-5.86242469531927,"ELF2","NS"
"NPTX2",0.413614237862579,1.15503519363385,1.4094461303971,0.164408993244166,0.236421972420205,-5.86321252757437,"NPTX2","NS"
"GATAD1",0.137416230632456,3.31767447451695,1.40880575121553,0.164597400944671,0.236667434781308,-5.86408889234881,"GATAD1","NS"
"ILK",-0.241055044871135,5.63262281783549,-1.40852028182231,0.164681443506412,0.236761356383837,-5.86447944064793,"ILK","NS"
"ZNF791",-0.138485062289692,2.31430412164224,-1.40846351556025,0.164698159526101,0.236761356383837,-5.8645570933375,"ZNF791","NS"
"CYB5RL",0.126598858625867,1.09203041983379,1.40790633246112,0.164862303517476,0.236971826549108,-5.86531913063639,"CYB5RL","NS"
"NUDT4",0.251637369544741,4.65135652854664,1.40782200423913,0.164887157312252,0.236982058299055,-5.86543443861494,"NUDT4","NS"
"SNHG5",0.558290821708925,7.01384004343779,1.40751165293131,0.164978651159606,0.23708805515107,-5.86585874879862,"SNHG5","NS"
"EMCN",-0.236641146518643,1.4273945999409,-1.40744367803169,0.164998695903039,0.237091361937456,-5.86595167201742,"EMCN","NS"
"TSPAN14",-0.143133628293747,3.93989818628346,-1.40665140315624,0.16523246447156,0.237401740889138,-5.86703442220534,"TSPAN14","NS"
"TESK1",-0.206574651540869,3.58695224576129,-1.40630581145833,0.16533451495452,0.23751945501777,-5.86750654236814,"TESK1","NS"
"C1orf27",0.135144675794072,2.75584807152084,1.4062535709232,0.165349945410514,0.23751945501777,-5.86757789989815,"C1orf27","NS"
"MAP3K14",-0.185451415259409,2.41993546260672,-1.40538655151497,0.165606202428846,0.237861988267681,-5.86876183838137,"MAP3K14","NS"
"KIF2A",0.177021370218303,3.14896453167469,1.40524217377536,0.165648904654654,0.237897749784554,-5.86895892421581,"KIF2A","NS"
"ZEB1",-0.341911772232705,2.03000201580355,-1.40493524418731,0.165739712705901,0.238002583683638,-5.86937784233155,"ZEB1","NS"
"HIST1H2BH",-0.336174875593042,1.42955033774766,-1.40482787908266,0.165771486783878,0.238022631249321,-5.86952436136752,"HIST1H2BH","NS"
"ZNF93",0.204453443567082,1.02746988467479,1.40458552749766,0.16584322664043,0.238067799462778,-5.86985505554245,"ZNF93","NS"
"GRK5",-0.212434876320081,2.97372208172109,-1.40454440420884,0.165855402158397,0.238067799462778,-5.86991116393255,"GRK5","NS"
"AGA",-0.193081842433505,3.28139221394129,-1.40454105216135,0.165856394641446,0.238067799462778,-5.86991573738052,"AGA","NS"
"ATAT1",0.17176901304781,2.12047466542115,1.40425474247105,0.16594118291592,0.238163919024976,-5.87030633358592,"ATAT1","NS"
"MICB",0.210668118182271,1.20150870878142,1.4039860668417,0.166020779481955,0.238252567440435,-5.87067280534737,"MICB","NS"
"ZNF232",-0.119660987587692,1.40977716573101,-1.40353279973501,0.166155129136805,0.23839788583357,-5.8712909109773,"ZNF232","NS"
"PKDCC",-0.311368534483264,4.2485897890514,-1.40352404733227,0.166157724200571,0.23839788583357,-5.87130284451969,"PKDCC","NS"
